from,to,arrows
cpd:C00957_c,MPST,to
MPST,cpd:C00022_c,to
MPST,cpd:C00320_c,to
cpd:C00094_c,TST,to
cpd:C00957_c,TST,to
TST,cpd:C00022_c,to
TST,cpd:C00320_c,to
cpd:C00430_m,transporter>270,to
transporter>270,cpd:C00430_c,to
cpd:C00334_m,ABAT>1028,to
ABAT>1028,cpd:C00232_m,to
ABAT>1028_reverse,cpd:C00334_m,to
cpd:C00232_m,ABAT>1028_reverse,to
cpd:C00334_m,ABAT>1029,to
ABAT>1029,cpd:C00232_m,to
ABAT>1029_reverse,cpd:C00334_m,to
cpd:C00232_m,ABAT>1029_reverse,to
cpd:C00041_c,GPT2,to
GPT2,cpd:C00022_c,to
GPT2_reverse,cpd:C00041_c,to
cpd:C00022_c,GPT2_reverse,to
GAD1,cpd:C00334_c,to
GAD1>1031,cpd:C00334_c,to
cpd:C03912_m,ALDH4A1,to
cpd:C03912_m,ALDH4A1>1036,to
cpd:C00232_m,ALDH5A1,to
ALDH5A1,cpd:C00042_m,to
ALDH5A1_reverse,cpd:C00232_m,to
cpd:C00042_m,ALDH5A1_reverse,to
cpd:C00232_m,r0179,to
r0179,cpd:C00042_m,to
cpd:C00232_m,4OHBUTm,to
4OHBUTm,4ohbut_m,to
cpd:C00049_c,FH,to
FH,cpd:C00122_c,to
cpd:C00024_m,NAGS,to
NAGS,cpd:C00624_m,to
cpd:C00062_m,ARG2,to
ARG2,cpd:C00086_m,to
ARG2,cpd:C00077_m,to
cpd:C00791_m,CKMT1B,to
CKMT1B,pcreat_m,to
cpd:C00791_m,CKMT1A,to
CKMT1A,pcreat_m,to
cpd:C00791_c,CKB,to
CKB,pcreat_c,to
transporter>79,cpd:C00791_m,to
pcreat_c,CRTNsyn,to
CRTNsyn,crtn_c,to
cpd:C03287_m,ALDH18A1,to
ALDH18A1,cpd:C01165_m,to
cpd:C00019_c,GAMT,to
gudac_c,GAMT,to
GAMT,cpd:C00021_c,to
GAMT,cpd:C00791_c,to
cpd:C00019_c,GAMT>1038,to
gudac_c,GAMT>1038,to
GAMT>1038,cpd:C00021_c,to
GAMT>1038,cpd:C00791_c,to
ALDH18A1>1039,cpd:C03287_m,to
cpd:C00037_c,GATM,to
cpd:C00062_c,GATM,to
GATM,cpd:C00077_c,to
GATM,gudac_c,to
cpd:C01165_m,OAT,to
OAT,cpd:C00077_m,to
pcreat_m,transporter>513,to
transporter>513,pcreat_c,to
cpd:C00213_m,SARDH>1040,to
SARDH>1040,cpd:C00037_m,to
SARDH>1040,cpd:C00143_m,to
cpd:C01137_c,SMS,to
cpd:C00315_c,SMS,to
SMS,cpd:C00750_c,to
SMS,cpd:C00170_c,to
cpd:C01137_c,SRM,to
cpd:C00315_c,SRM,to
SRM,cpd:C00750_c,to
SRM,cpd:C00170_c,to
cpd:C01165_m,ALDH4A1>1042,to
ALDH4A1>1042_reverse,cpd:C01165_m,to
cpd:C00022_c,r0156,to
r0156,cpd:C00041_c,to
cpd:C00022_m,r0157,to
r0157,cpd:C00041_m,to
cpd:C00555_c,RE0691C,to
RE0691C,cpd:C15668_c,to
cpd:C00024_c,RE1234C,to
cpd:C00315_c,RE1234C,to
RE1234C,cpd:C00612_c,to
cpd:C00024_c,RE1235C,to
cpd:C00315_c,RE1235C,to
RE1235C,cpd:C01029_c,to
cpd:C15853_c,RE1897C,to
RE1897C,cpd:C00315_c,to
13dampp_c,RE1898C,to
cpd:C15668_c,RE1898C,to
RE1898C,cpd:C15853_c,to
cpd:C00109_c,RE2034C,to
RE2034C,cpd:C02356_c,to
cpd:C00062_c,ARG2>1049,to
ARG2>1049,cpd:C00077_c,to
ARG2>1049,cpd:C00086_c,to
cpd:C01165_c,G5SADs,to
G5SADs,cpd:C03912_c,to
cpd:C01137_c,SRM>1050,to
cpd:C00134_c,SRM>1050,to
SRM>1050,cpd:C00170_c,to
SRM>1050,cpd:C00315_c,to
cpd:C00077_c,ODC1,to
ODC1,cpd:C00134_c,to
cpd:C00158_c,ACLY,to
ACLY,cpd:C00024_c,to
ACLY,cpd:C00036_c,to
cpd:C00158_c,ACLY>1051,to
ACLY>1051,cpd:C00024_c,to
ACLY>1051,cpd:C00036_c,to
cpd:C00158_m,ACO2,to
ACO2,cpd:C00311_m,to
ACO2_reverse,cpd:C00158_m,to
cpd:C00311_m,ACO2_reverse,to
cpd:C00158_m,ACO1,to
ACO1,cpd:C00311_m,to
ACO1_reverse,cpd:C00158_m,to
cpd:C00311_m,ACO1_reverse,to
OGDH_DLD_PDH_DLST>1052,cpd:C00091_m,to
OGDH_DLD_PDH_DLST>1053,cpd:C00091_m,to
cpd:C00024_m,CS,to
cpd:C00036_m,CS,to
CS,cpd:C00158_m,to
cpd:C00024_m,CS>1054,to
cpd:C00036_m,CS>1054,to
CS>1054,cpd:C00158_m,to
cpd:C00122_m,FH>1055,to
FH>1055,cpd:C00149_m,to
FH>1055_reverse,cpd:C00122_m,to
cpd:C00149_m,FH>1055_reverse,to
cpd:C00311_m,IDH3G_IDH3B_IDH3A,to
cpd:C00311_m,IDH3B_IDH3G_IDH3A,to
cpd:C00311_m,IDH3B_IDH3_IDH3A>1056,to
cpd:C00311_m,IDH3B_IDH3_IDH3A>1057,to
cpd:C00311_m,IDH3G_IDH3A_IDH3B,to
cpd:C00311_m,IDH3G_IDH3_IDH3B>1058,to
cpd:C00311_c,IDH1,to
cpd:C00311_x,IDH1>1059,to
cpd:C00311_m,IDH2,to
IDH2_reverse,cpd:C00311_m,to
cpd:C00149_m,MDH2,to
MDH2,cpd:C00036_m,to
MDH2_reverse,cpd:C00149_m,to
cpd:C00036_m,MDH2_reverse,to
cpd:C00149_m,MDH1,to
MDH1,cpd:C00036_m,to
MDH1_reverse,cpd:C00149_m,to
cpd:C00036_m,MDH1_reverse,to
cpd:C00042_m,SDHA_SDHD_SDHC_SDHB,to
SDHA_SDHD_SDHC_SDHB,cpd:C00122_m,to
SDHA_SDHD_SDHC_SDHB_reverse,cpd:C00042_m,to
cpd:C00122_m,SDHA_SDHD_SDHC_SDHB_reverse,to
cpd:C00042_m,SUCLG1_SUCLG2,to
SUCLG1_SUCLG2,cpd:C00091_m,to
SUCLG1_SUCLG2_reverse,cpd:C00042_m,to
cpd:C00091_m,SUCLG1_SUCLG2_reverse,to
cpd:C00042_m,SUCLG1_SUCLA2,to
SUCLG1_SUCLA2,cpd:C00091_m,to
SUCLG1_SUCLA2_reverse,cpd:C00042_m,to
cpd:C00091_m,SUCLG1_SUCLA2_reverse,to
cpd:C00041_m,GPT2>1060,to
GPT2>1060,cpd:C00022_m,to
GPT2>1060_reverse,cpd:C00041_m,to
cpd:C00022_m,GPT2>1060_reverse,to
cpd:C00042_m,SDHA_SDHB_SDHC_SDHD,to
SDHA_SDHB_SDHC_SDHD,q10h2_m,to
SDHA_SDHB_SDHC_SDHD,cpd:C00122_m,to
cpd:C00149_x,MDHx,to
MDHx,cpd:C00036_x,to
MDHx_reverse,cpd:C00149_x,to
cpd:C00036_x,MDHx_reverse,to
cpd:C00158_c,IREB2,to
IREB2,cpd:C00311_c,to
IREB2_reverse,cpd:C00158_c,to
cpd:C00311_c,IREB2_reverse,to
cpd:C00158_c,ACO1>1062,to
ACO1>1062,cpd:C00311_c,to
ACO1>1062_reverse,cpd:C00158_c,to
cpd:C00311_c,ACO1>1062_reverse,to
cpd:C00122_c,FH>1063,to
FH>1063,cpd:C00149_c,to
FH>1063_reverse,cpd:C00122_c,to
cpd:C00149_c,FH>1063_reverse,to
cpd:C00158_c,CLYBL,to
CLYBL,cpd:C00033_c,to
CLYBL,cpd:C00036_c,to
cpd:C00158_c,CLYBL>1064,to
CLYBL>1064,cpd:C00033_c,to
CLYBL>1064,cpd:C00036_c,to
cpd:C00149_c,MDH1B,to
MDH1B,cpd:C00036_c,to
MDH1B_reverse,cpd:C00149_c,to
cpd:C00036_c,MDH1B_reverse,to
cpd:C00149_c,MDH1>1065,to
MDH1>1065,cpd:C00036_c,to
MDH1>1065_reverse,cpd:C00149_c,to
cpd:C00036_c,MDH1>1065_reverse,to
cpd:C00546_c,AKR1A1,to
AKR1A1,cpd:C05235_c,to
cpd:C00546_c,AKR7A2,to
AKR7A2,cpd:C05235_c,to
cpd:C00546_c,AKR1A1>1067,to
AKR1A1>1067,cpd:C05235_c,to
cpd:C00546_c,AKR1B1,to
AKR1B1,cpd:C05235_c,to
cpd:C00149_m,ME2,to
ME2,cpd:C00022_m,to
cpd:C00149_c,ME1,to
ME1,cpd:C00022_c,to
cpd:C00149_m,ME2>1068,to
ME2>1068,cpd:C00022_m,to
cpd:C00149_m,ME3,to
ME3,cpd:C00022_m,to
cpd:C00111_c,MGSA,to
MGSA,cpd:C00546_c,to
cpd:C00118_c,MGSA2,to
MGSA2,cpd:C00546_c,to
cpd:C00022_m,PC,to
cpd:C00288_m,PC,to
PC,cpd:C00036_m,to
cpd:C00022_m,PC>1069,to
cpd:C00288_m,PC>1069,to
PC>1069,cpd:C00036_m,to
cpd:C00546_c,r0055,to
r0055,cpd:C00022_c,to
cpd:C00033_m,ACSS1,to
ACSS1,cpd:C00024_m,to
ALDH1B1,cpd:C00033_m,to
ALDH2,cpd:C00033_m,to
ALDH9A1,cpd:C00033_c,to
ALDH3B1,cpd:C00033_c,to
ALDH3A2,cpd:C00033_c,to
ALDH1B1>1073,cpd:C00033_c,to
cpd:C00031_r,G6PC,to
cpd:C00169_r,G6PC,to
G6PC,cpd:C00092_r,to
cpd:C00031_r,G6PC3,to
cpd:C00169_r,G6PC3,to
G6PC3,cpd:C00092_r,to
23dpg_c,BPGM,to
BPGM,cpd:C00197_c,to
23dpg_c,PGAM1,to
PGAM1,cpd:C00197_c,to
23dpg_c,PGAM2,to
PGAM2,cpd:C00197_c,to
23dpg_c,PGAM2>1074,to
PGAM2>1074,cpd:C00197_c,to
23dpg_c,BPGM>1075,to
BPGM>1075,cpd:C00197_c,to
cpd:C00236_c,BPGM>1076,to
BPGM>1076,23dpg_c,to
cpd:C00236_c,PGAM1>1077,to
PGAM1>1077,23dpg_c,to
cpd:C00236_c,PGAM2>1078,to
PGAM2>1078,23dpg_c,to
cpd:C00236_c,PGAM2>1079,to
PGAM2>1079,23dpg_c,to
cpd:C00236_c,BPGM>1080,to
BPGM>1080,23dpg_c,to
cpd:C00093_c,GPD2,to
GPD2,cpd:C00111_c,to
cpd:C00092_r,G6PC>1082,to
G6PC>1082,cpd:C00031_r,to
cpd:C00092_r,G6PC3>1083,to
G6PC3>1083,cpd:C00031_r,to
cpd:C00022_m,DLD_PDHX_PDHA1_PDHB_DLAT,to
DLD_PDHX_PDHA1_PDHB_DLAT,cpd:C00024_m,to
cpd:C00036_m,PCK2,to
PCK2,cpd:C00074_m,to
cpd:C00186_x,LDHB,to
LDHB,cpd:C00022_x,to
LDHB_reverse,cpd:C00186_x,to
cpd:C00022_x,LDHB_reverse,to
cpd:C00186_x,LDHA,to
LDHA,cpd:C00022_x,to
LDHA_reverse,cpd:C00186_x,to
cpd:C00022_x,LDHA_reverse,to
cpd:C00186_x,LDHC,to
LDHC,cpd:C00022_x,to
LDHC_reverse,cpd:C00186_x,to
cpd:C00022_x,LDHC_reverse,to
cpd:C00031_c,HK1,to
HK1,cpd:C00092_c,to
cpd:C00031_c,HK2,to
HK2,cpd:C00092_c,to
cpd:C00031_c,HK1>1089,to
HK1>1089,cpd:C00092_c,to
cpd:C00031_c,HK2>1090,to
HK2>1090,cpd:C00092_c,to
cpd:C00033_c,AACS,to
AACS,cpd:C00024_c,to
cpd:C00033_c,ACSS2,to
ACSS2,cpd:C00024_c,to
cpd:C00033_c,ACSS2>1093,to
ACSS2>1093,cpd:C00024_c,to
cpd:C00631_c,ENO1,to
ENO1,cpd:C00074_c,to
ENO1_reverse,cpd:C00631_c,to
cpd:C00074_c,ENO1_reverse,to
cpd:C00631_c,ENO3,to
ENO3,cpd:C00074_c,to
ENO3_reverse,cpd:C00631_c,to
cpd:C00074_c,ENO3_reverse,to
cpd:C00631_c,ENO3>1094,to
ENO3>1094,cpd:C00074_c,to
ENO3>1094_reverse,cpd:C00631_c,to
cpd:C00074_c,ENO3>1094_reverse,to
cpd:C00631_c,ENO2,to
ENO2,cpd:C00074_c,to
ENO2_reverse,cpd:C00631_c,to
cpd:C00074_c,ENO2_reverse,to
cpd:C00354_c,ALDOA,to
ALDOA,cpd:C00111_c,to
ALDOA,cpd:C00118_c,to
ALDOA_reverse,cpd:C00354_c,to
cpd:C00111_c,ALDOA_reverse,to
cpd:C00118_c,ALDOA_reverse,to
cpd:C00354_c,ALDOA>1095,to
ALDOA>1095,cpd:C00111_c,to
ALDOA>1095,cpd:C00118_c,to
ALDOA>1095_reverse,cpd:C00354_c,to
cpd:C00111_c,ALDOA>1095_reverse,to
cpd:C00118_c,ALDOA>1095_reverse,to
cpd:C00354_c,ALDOA>1096,to
ALDOA>1096,cpd:C00111_c,to
ALDOA>1096,cpd:C00118_c,to
ALDOA>1096_reverse,cpd:C00354_c,to
cpd:C00111_c,ALDOA>1096_reverse,to
cpd:C00118_c,ALDOA>1096_reverse,to
cpd:C00354_c,ALDOC,to
ALDOC,cpd:C00111_c,to
ALDOC,cpd:C00118_c,to
ALDOC_reverse,cpd:C00354_c,to
cpd:C00111_c,ALDOC_reverse,to
cpd:C00118_c,ALDOC_reverse,to
cpd:C00118_c,GAPDH,to
GAPDH,cpd:C00236_c,to
GAPDH_reverse,cpd:C00118_c,to
cpd:C00236_c,GAPDH_reverse,to
cpd:C00118_c,GAPDHS,to
GAPDHS,cpd:C00236_c,to
GAPDHS_reverse,cpd:C00118_c,to
cpd:C00236_c,GAPDHS_reverse,to
cpd:C00031_c,HK1>1097,to
HK1>1097,cpd:C00092_c,to
cpd:C00031_c,HKDC1,to
HKDC1,cpd:C00092_c,to
cpd:C00031_c,HK1>1099,to
HK1>1099,cpd:C00092_c,to
cpd:C00031_c,HK2>1100,to
HK2>1100,cpd:C00092_c,to
cpd:C00031_c,HK1>1102,to
HK1>1102,cpd:C00092_c,to
cpd:C00031_c,HK1>1104,to
HK1>1104,cpd:C00092_c,to
cpd:C00031_c,HK1>1106,to
HK1>1106,cpd:C00092_c,to
cpd:C00092_c,GPI,to
GPI,cpd:C05345_c,to
GPI_reverse,cpd:C00092_c,to
cpd:C05345_c,GPI_reverse,to
cpd:C00197_c,PGK1,to
PGK1,cpd:C00236_c,to
PGK1_reverse,cpd:C00197_c,to
cpd:C00236_c,PGK1_reverse,to
cpd:C00197_c,MIA3,to
MIA3,cpd:C00236_c,to
MIA3_reverse,cpd:C00197_c,to
cpd:C00236_c,MIA3_reverse,to
cpd:C00631_c,BPGM>1107,to
BPGM>1107,cpd:C00197_c,to
BPGM>1107_reverse,cpd:C00631_c,to
cpd:C00197_c,BPGM>1107_reverse,to
cpd:C00631_c,PGAM1>1108,to
PGAM1>1108,cpd:C00197_c,to
PGAM1>1108_reverse,cpd:C00631_c,to
cpd:C00197_c,PGAM1>1108_reverse,to
cpd:C00631_c,PGAM2>1109,to
PGAM2>1109,cpd:C00197_c,to
PGAM2>1109_reverse,cpd:C00631_c,to
cpd:C00197_c,PGAM2>1109_reverse,to
cpd:C00631_c,PGAM2>1110,to
PGAM2>1110,cpd:C00197_c,to
PGAM2>1110_reverse,cpd:C00631_c,to
cpd:C00197_c,PGAM2>1110_reverse,to
cpd:C00631_c,BPGM>1111,to
BPGM>1111,cpd:C00197_c,to
BPGM>1111_reverse,cpd:C00631_c,to
cpd:C00197_c,BPGM>1111_reverse,to
cpd:C00111_c,TPI1,to
TPI1,cpd:C00118_c,to
TPI1_reverse,cpd:C00111_c,to
cpd:C00118_c,TPI1_reverse,to
cpd:C00111_c,TPI1P2,to
TPI1P2,cpd:C00118_c,to
TPI1P2_reverse,cpd:C00111_c,to
cpd:C00118_c,TPI1P2_reverse,to
cpd:C00236_c,RWDD2A,to
RWDD2A,cpd:C00197_c,to
cpd:C00236_c,ACYP2,to
ACYP2,cpd:C00197_c,to
cpd:C00236_c,ACYP1,to
ACYP1,cpd:C00197_c,to
cpd:C00236_c,ACYP1>1112,to
ACYP1>1112,cpd:C00197_c,to
ALDH7A1>1114,cpd:C00033_c,to
ALDH3A2>1116,cpd:C00033_c,to
ALDH3B1>1119,cpd:C00033_c,to
ALDH1A1,cpd:C00033_c,to
ALDH9A1>1121,cpd:C00033_c,to
ALDH1A3,cpd:C00033_c,to
ALDH1B1>1122,cpd:C00033_c,to
cpd:C00186_c,LDHB_LDHA,to
LDHB_LDHA,cpd:C00022_c,to
LDHB_LDHA_reverse,cpd:C00186_c,to
cpd:C00022_c,LDHB_LDHA_reverse,to
cpd:C00186_c,LDHC>1123,to
LDHC>1123,cpd:C00022_c,to
LDHC>1123_reverse,cpd:C00186_c,to
cpd:C00022_c,LDHC>1123_reverse,to
cpd:C00186_c,LDHA>1124,to
LDHA>1124,cpd:C00022_c,to
LDHA>1124_reverse,cpd:C00186_c,to
cpd:C00022_c,LDHA>1124_reverse,to
cpd:C00186_c,LDHC>1125,to
LDHC>1125,cpd:C00022_c,to
LDHC>1125_reverse,cpd:C00186_c,to
cpd:C00022_c,LDHC>1125_reverse,to
cpd:C00186_c,UEVLD,to
UEVLD,cpd:C00022_c,to
UEVLD_reverse,cpd:C00186_c,to
cpd:C00022_c,UEVLD_reverse,to
cpd:C00186_c,LDHB>1126,to
LDHB>1126,cpd:C00022_c,to
LDHB>1126_reverse,cpd:C00186_c,to
cpd:C00022_c,LDHB>1126_reverse,to
cpd:C05345_c,PFKP,to
PFKP,cpd:C00354_c,to
cpd:C05345_c,PFKL,to
PFKL,cpd:C00354_c,to
cpd:C05345_c,PFKP_PFKL,to
PFKP_PFKL,cpd:C00354_c,to
cpd:C05345_c,PFKP_PFKM,to
PFKP_PFKM,cpd:C00354_c,to
cpd:C05345_c,PFKM,to
PFKM,cpd:C00354_c,to
cpd:C05345_c,PFK_PFKL>1127,to
PFK_PFKL>1127,cpd:C00354_c,to
cpd:C05345_c,PFKL>1128,to
PFKL>1128,cpd:C00354_c,to
cpd:C05345_c,PFKL_PFKM,to
PFKL_PFKM,cpd:C00354_c,to
cpd:C05345_c,PFKM_PFKL,to
PFKM_PFKL,cpd:C00354_c,to
cpd:C00074_c,PKM,to
PKM,cpd:C00022_c,to
cpd:C00074_c,PKM>1130,to
PKM>1130,cpd:C00022_c,to
cpd:C00074_c,PKM>1132,to
PKM>1132,cpd:C00022_c,to
M01389_c,GPI>1133,to
GPI>1133,cpd:C00092_c,to
GPI>1133_reverse,M01389_c,to
cpd:C00092_c,GPI>1133_reverse,to
M01389_c,GPI>1134,to
GPI>1134,cpd:C05345_c,to
GPI>1134_reverse,M01389_c,to
cpd:C05345_c,GPI>1134_reverse,to
cpd:C00100_m,BCKDHA_BCKDHB_DLD_DBT,to
BCKDHA_BCKDHB_DLD_DBT,cpd:C00109_m,to
NT5C2,cpd:C00212_c,to
NT5C,cpd:C00212_c,to
NT5C3A,cpd:C00212_c,to
cpd:C00212_c,ADK,to
cpd:C00212_c,ADK>1188,to
cpd:C00019_c,AMD1,to
AMD1,cpd:C01137_c,to
cpd:C01165_m,G5SADrm,to
G5SADrm,cpd:C03912_m,to
G5SADrm_reverse,cpd:C01165_m,to
cpd:C03912_m,G5SADrm_reverse,to
cpd:C03912_m,PYCR1,to
PYCR1,cpd:C00148_m,to
cpd:C03912_m,PYCR1>1189,to
PYCR1>1189,cpd:C00148_m,to
cpd:C03912_m,PYCR1>1190,to
PYCR1>1190,cpd:C00148_m,to
cpd:C03912_m,PYCR1>1191,to
PYCR1>1191,cpd:C00148_m,to
cpd:C00148_m,PRODH,to
PRODH,cpd:C03912_m,to
cpd:C00134_c,AOC2,to
AOC2,cpd:C00555_c,to
cpd:C00134_c,AOC2>1194,to
AOC2>1194,cpd:C00555_c,to
cpd:C01157_c,PYCR2,to
PYCR2,cpd:C04281_c,to
PYCR2_reverse,cpd:C01157_c,to
cpd:C04281_c,PYCR2_reverse,to
cpd:C01157_c,PYCR1>1195,to
PYCR1>1195,cpd:C04281_c,to
PYCR1>1195_reverse,cpd:C01157_c,to
cpd:C04281_c,PYCR1>1195_reverse,to
cpd:C04281_m,PYCR2>1196,to
PYCR2>1196,cpd:C01157_m,to
cpd:C04281_m,PYCR1>1197,to
PYCR1>1197,cpd:C01157_m,to
cpd:C01157_c,PYCR2>1198,to
PYCR2>1198,cpd:C04281_c,to
PYCR2>1198_reverse,cpd:C01157_c,to
cpd:C04281_c,PYCR2>1198_reverse,to
cpd:C01157_c,PYCR1>1199,to
PYCR1>1199,cpd:C04281_c,to
PYCR1>1199_reverse,cpd:C01157_c,to
cpd:C04281_c,PYCR1>1199_reverse,to
cpd:C03912_c,PYCR2>1200,to
PYCR2>1200,cpd:C00148_c,to
cpd:C03912_c,PYCR3,to
PYCR3,cpd:C00148_c,to
cpd:C03912_c,PYCR1>1201,to
PYCR1>1201,cpd:C00148_c,to
cpd:C00148_m,P4HA2,to
P4HA2,cpd:C00042_m,to
P4HA2,cpd:C01157_m,to
cpd:C00148_m,P4HA1,to
P4HA1,cpd:C00042_m,to
P4HA1,cpd:C01157_m,to
cpd:C00148_m,P4HA3,to
P4HA3,cpd:C00042_m,to
P4HA3,cpd:C01157_m,to
cpd:C01157_c,HMR_4782,to
HMR_4782,cpd:C04281_c,to
cpd:C01157_m,HMR_4783,to
HMR_4783,cpd:C04281_m,to
cpd:C00048_x,transporter>308,to
transporter>308,cpd:C00048_c,to
transporter>83,cpd:C00037_x,to
cpd:C00037_x,transporter>83,to
transporter>442,cpd:C00213_x,to
cpd:C00311_x,transporter>253,to
transporter>253,cpd:C00311_x,to
cpd:C00111_c,transporter>469,to
transporter>469,cpd:C00111_x,to
cpd:C00111_x,transporter>469,to
transporter>428,cpd:C00093_x,to
cpd:C00093_x,transporter>428,to
cpd:C00186_x,transporter>200,to
transporter>200,cpd:C00186_x,to
transporter>39,cpd:C00041_x,to
cpd:C00036_x,transporter>294,to
transporter>294,cpd:C00036_x,to
cpd:C00049_c,ASNS,to
ASNS,cpd:C00152_c,to
cpd:C00049_c,ASNS>1206,to
ASNS>1206,cpd:C00152_c,to
cpd:C00049_c,ASNS>1207,to
ASNS>1207,cpd:C00152_c,to
cpd:C00036_m,GOT2>1208,to
GOT2>1208,cpd:C00049_m,to
cpd:C00049_c,GOT1>1209,to
GOT1>1209,cpd:C00036_c,to
GOT1>1209_reverse,cpd:C00049_c,to
cpd:C00036_c,GOT1>1209_reverse,to
cpd:C00169_c,transporter>536,to
transporter>536,cpd:C00169_r,to
cpd:C00092_c,transporter>539,to
transporter>539,cpd:C00092_r,to
transporter>539,cpd:C00092_c,to
cpd:C00092_r,transporter>539,to
transporter>93,cpd:C00031_r,to
cpd:C00191_c,transporter>544,to
transporter>544,cpd:C00191_r,to
guln_r,transporter>546,to
transporter>546,guln_c,to
cpd:C03736_c,transporter>552,to
transporter>552,cpd:C03736_r,to
transporter>552,cpd:C03736_c,to
cpd:C03736_r,transporter>552,to
cpd:C00199_c,transporter>556,to
transporter>556,cpd:C00199_r,to
transporter>556,cpd:C00199_c,to
cpd:C00199_r,transporter>556,to
cpd:C00345_c,transporter>562,to
transporter>562,cpd:C00345_r,to
transporter>562,cpd:C00345_c,to
cpd:C00345_r,transporter>562,to
CA5B,cpd:C00288_m,to
cpd:C00158_m,ACO2>1215,to
ACO2>1215_reverse,cpd:C00158_m,to
cpd:C00158_m,ACO1>1216,to
ACO1>1216_reverse,cpd:C00158_m,to
cpd:C00311_m,ACO2>1217,to
cpd:C00311_m,ACO1>1218,to
HIBCH,cpd:C01188_m,to
cpd:C00158_m,r1109,to
r1109,cpd:C00033_m,to
r1109,cpd:C00036_m,to
guln_c,AKR1A1>1219,to
AKR1A1>1219,cpd:C00191_c,to
FldAct,cpd:C00143_c,to
CA12,cpd:C00288_c,to
CA13,cpd:C00288_c,to
CA14,cpd:C00288_c,to
CA12>1221,cpd:C00288_c,to
CA2,cpd:C00288_c,to
765 ,cpd:C00288_c,to
cpd:C00036_c,OAADC,to
OAADC,cpd:C00022_c,to
cpd:C00588_c,PHOSPHO1,to
PHOSPHO1,cpd:C00114_c,to
cpd:C00114_c,CHKA,to
CHKA,cpd:C00588_c,to
cpd:C00114_c,CHKA>1223,to
CHKA>1223,cpd:C00588_c,to
cpd:C00065_c,PTDSS1,to
pchol_hs_c,PTDSS1,to
PTDSS1,cpd:C00114_c,to
PTDSS1,ps_hs_c,to
cpd:C00093_m,r0202m,to
r0202m,cpd:C00111_m,to
ps_hs_c,PSDm_hsc,to
PSDm_hsc,cpd:C00350_c,to
cpd:C00093_c,GPD2>1226,to
GPD2>1226,cpd:C00111_c,to
cpd:C00019_c,PEMT,to
cpd:C00350_c,PEMT,to
PEMT,cpd:C00021_c,to
PEMT,M02686_c,to
cpd:C00019_c,PEMT>1227,to
M02686_c,PEMT>1227,to
PEMT>1227,cpd:C00021_c,to
PEMT>1227,M02758_c,to
cpd:C00019_c,PEMT>1228,to
M02758_c,PEMT>1228,to
PEMT>1228,cpd:C00021_c,to
PEMT>1228,pchol_hs_c,to
EX_asp_L_e_reverse,cpd:C00049_e,to
EX_pro_L_e_reverse,cpd:C00148_e,to
EX_gly_e_reverse,cpd:C00037_e,to
EX_ala_L_e_reverse,cpd:C00041_e,to
EX_cit_e_reverse,cpd:C00158_e,to
cpd:C01236_r,H6PD,to
H6PD,cpd:C00092_r,to
cpd:C00092_r,H6PD>1229,to
H6PD>1229,cpd:C01236_r,to
cpd:C00092_r,G6PD,to
G6PD,cpd:C01236_r,to
cpd:C00345_r,PGD,to
PGD,cpd:C00199_r,to
cpd:C00191_r,GULNDer,to
GULNDer,guln_r,to
cpd:C01236_r,H6PD>1230,to
H6PD>1230,cpd:C00345_r,to
cpd:C03736_r,RPIA,to
RPIA,cpd:C00199_r,to
RPIA_reverse,cpd:C03736_r,to
cpd:C00199_r,RPIA_reverse,to
cpd:C00092_c,G6PD>1231,to
G6PD>1231,cpd:C01236_c,to
cpd:C00345_c,PGD>1232,to
PGD>1232,cpd:C00199_c,to
cpd:C01236_c,PGLS,to
PGLS,cpd:C00345_c,to
cpd:C00199_c,RPE,to
RPE,cpd:C00231_c,to
RPE_reverse,cpd:C00199_c,to
cpd:C00231_c,RPE_reverse,to
cpd:C00199_c,RPE>1233,to
RPE>1233,cpd:C00231_c,to
RPE>1233_reverse,cpd:C00199_c,to
cpd:C00231_c,RPE>1233_reverse,to
cpd:C00092_c,G6PD>1234,to
G6PD>1234,cpd:C01236_c,to
G6PD>1234_reverse,cpd:C00092_c,to
cpd:C01236_c,G6PD>1234_reverse,to
cpd:C01236_c,PGLS>1235,to
PGLS>1235,cpd:C00345_c,to
cpd:C03736_c,PRPS1L1,to
PRPS1L1,cpd:C00119_c,to
cpd:C03736_c,PRPS1,to
PRPS1,cpd:C00119_c,to
cpd:C03736_c,PRPS1L1>1236,to
PRPS1L1>1236,cpd:C00119_c,to
cpd:C03736_c,PRPS2,to
PRPS2,cpd:C00119_c,to
cpd:C00199_c,RPE>1237,to
RPE>1237,cpd:C00231_c,to
RPE>1237_reverse,cpd:C00199_c,to
cpd:C00231_c,RPE>1237_reverse,to
cpd:C00199_c,RPE>1238,to
RPE>1238,cpd:C00231_c,to
RPE>1238_reverse,cpd:C00199_c,to
cpd:C00231_c,RPE>1238_reverse,to
cpd:C03736_c,RPIA>1239,to
RPIA>1239,cpd:C00199_c,to
RPIA>1239_reverse,cpd:C03736_c,to
cpd:C00199_c,RPIA>1239_reverse,to
cpd:C00118_c,TALDO1,to
cpd:C05382_c,TALDO1,to
TALDO1,cpd:C05345_c,to
TALDO1,cpd:C00279_c,to
TALDO1_reverse,cpd:C00118_c,to
TALDO1_reverse,cpd:C05382_c,to
